generation,wall_seconds,cum_wall_seconds,sigma,evaluations,ticks_simulated,evals_per_sec,ticks_per_sec,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_p25,fitness_p75,fitness_worst,gates_best,gates_mean,gates_median,laps_best,laps_mean,lap_completion_rate,best_lap_ticks,best_lap_seconds,collisions_mean,term_crash,term_stall,term_timeout,term_finished,champion_fitness,champion_sha1
0,2.381,2.381,0.15,200,39944,83.99,16774,99.9801,-3.6624,-10.0,25.2846,-10.0,-5.0,-25.0,2,0.55,1,0,0.0,0.0,,,2.065,10,190,0,0,99.9801,aaa6004defb11e5b4383e00e7e222e970b548910
1,1.961,4.342,0.148489,200,51154,102.01,26091,99.9801,16.8407,-5.0,44.6696,-15.0,78.3422,-25.0,2,0.59,1,0,0.0,0.0,,,2.2,26,174,0,0,99.9801,
2,1.827,6.169,0.146993,200,54422,109.45,29781,99.9801,29.8324,-10.0,51.0386,-15.0,83.3245,-25.0,4,0.71,1,0,0.0,0.0,,,2.555,16,184,0,0,99.9801,
3,2.138,8.308,0.145512,200,56388,93.53,26370,281.2709,40.2582,78.3156,59.1085,-15.0,87.9343,-25.0,3,0.64,1,0,0.0,0.0,,,2.73,24,176,0,0,281.2709,d32dde40b18f882e8034e6819a1e1237fc233e3f
4,2.054,10.362,0.144046,200,56381,97.35,27444,281.2709,38.4951,-5.0,60.6337,-15.0,88.1172,-25.0,3,0.67,1,0,0.0,0.0,,,2.6,18,182,0,0,281.2709,
5,2.173,12.535,0.142595,200,61651,92.05,28375,686.359,45.7868,-10.0,97.8364,-15.0,83.3245,-25.0,7,0.78,1,0,0.0,0.0,,,2.735,18,182,0,0,686.359,da9f5ee121075f795692557f5c9630577c49780f
6,3.181,15.716,0.141159,200,84210,62.87,26472,1167.6437,109.3664,82.7716,190.3303,-10.0,98.8344,-25.0,8,1.56,1,1,0.02,0.02,2262,45.24,2.495,23,174,0,3,1167.6437,21bad6888a42513293000b41a179ec9d086f739d
7,5.199,20.915,0.139737,200,123035,38.47,23664,1167.6437,190.5305,98.1172,274.0548,77.6998,194.3403,-20.0,8,2.29,1,1,0.06,0.06,2262,45.24,2.305,22,165,2,11,1167.6437,
8,6.633,27.549,0.138329,200,159395,30.15,24029,1167.6437,247.3421,99.529,337.1009,79.3403,194.99,-20.0,8,2.59,2,1,0.12,0.12,1946,38.92,1.91,14,158,6,22,1167.6437,
9,7.079,34.628,0.136935,200,164728,28.25,23269,1202.2281,264.6126,99.1528,373.9187,78.2216,194.5372,-25.0,8,2.6,2,1,0.14,0.14,2050,41.0,1.65,9,157,7,27,1202.2281,dce2d25060fe27e3cba4bcf1e758677ae2cb9f9b
